placeID,parking_lot,Rpayment,hours,days,Rcuisine,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,other_services,userID,rating,food_rating,service_rating
132001,,,,,Dutch-Belgian,,,,,,,,,,,,,
132002,,MasterCard-Eurocard,,,Seafood,,,,,,,,,,,,,
132002,,Visa,,,Seafood,,,,,,,,,,,,,
132002,,American_Express,,,Seafood,,,,,,,,,,,,,
132002,,Diners_Club,,,Seafood,,,,,,,,,,,,,
132003,,,,,International,,,,,,,,,,,,,
132004,,,,,Seafood,,,,,,,,,,,,,
132005,,,,,French,,,,,,,,,,,,,
132005,,,,,Seafood,,,,,,,,,,,,,
132006,,,,,Dutch-Belgian,,,,,,,,,,,,,
132007,,,,,Mediterranean,,,,,,,,,,,,,
132008,,,,,International,,,,,,,,,,,,,
132009,,,,,International,,,,,,,,,,,,,
132010,,,,,Mediterranean,,,,,,,,,,,,,
132010,,,,,Dutch-Belgian,,,,,,,,,,,,,
132012,public,Visa,12:00-22:00,Sun,French,,,,,,,,,,,,,
132012,public,Visa,12:00-22:00,Sun,Dutch-Belgian,,,,,,,,,,,,,
132012,public,Visa,12:00-22:00,Sun,French,,,,,,,,,,,,,
132012,public,Visa,12:00-22:00,Sun,Dutch-Belgian,,,,,,,,,,,,,
132012,public,Visa,12:00-22:00,Mon;Tue;Wed;Thu;Fri,French,,,,,,,,,,,,,
132012,public,Visa,12:00-22:00,Mon;Tue;Wed;Thu;Fri,Dutch-Belgian,,,,,,,,,,,,,
132012,public,Visa,12:00-22:00,Mon;Tue;Wed;Thu;Fri,French,,,,,,,,,,,,,
132012,public,Visa,12:00-22:00,Mon;Tue;Wed;Thu;Fri,Dutch-Belgian,,,,,,,,,,,,,
132012,public,Visa,12:00-22:00,Sat,French,,,,,,,,,,,,,
132012,public,Visa,12:00-22:00,Sat,Dutch-Belgian,,,,,,,,,,,,,
132012,public,Visa,12:00-22:00,Sat,French,,,,,,,,,,,,,
132012,public,Visa,12:00-22:00,Sat,Dutch-Belgian,,,,,,,,,,,,,
132012,public,American_Express,12:00-22:00,Sun,French,,,,,,,,,,,,,
132012,public,American_Express,12:00-22:00,Sun,Dutch-Belgian,,,,,,,,,,,,,
132012,public,American_Express,12:00-22:00,Sun,French,,,,,,,,,,,,,
132012,public,American_Express,12:00-22:00,Sun,Dutch-Belgian,,,,,,,,,,,,,
132012,public,American_Express,12:00-22:00,Mon;Tue;Wed;Thu;Fri,French,,,,,,,,,,,,,
132012,public,American_Express,12:00-22:00,Mon;Tue;Wed;Thu;Fri,Dutch-Belgian,,,,,,,,,,,,,
132012,public,American_Express,12:00-22:00,Mon;Tue;Wed;Thu;Fri,French,,,,,,,,,,,,,
132012,public,American_Express,12:00-22:00,Mon;Tue;Wed;Thu;Fri,Dutch-Belgian,,,,,,,,,,,,,
132012,public,American_Express,12:00-22:00,Sat,French,,,,,,,,,,,,,
132012,public,American_Express,12:00-22:00,Sat,Dutch-Belgian,,,,,,,,,,,,,
132012,public,American_Express,12:00-22:00,Sat,French,,,,,,,,,,,,,
132012,public,American_Express,12:00-22:00,Sat,Dutch-Belgian,,,,,,,,,,,,,
132012,public,bank_debit_cards,12:00-22:00,Sun,French,,,,,,,,,,,,,
132012,public,bank_debit_cards,12:00-22:00,Sun,Dutch-Belgian,,,,,,,,,,,,,
132012,public,bank_debit_cards,12:00-22:00,Sun,French,,,,,,,,,,,,,
132012,public,bank_debit_cards,12:00-22:00,Sun,Dutch-Belgian,,,,,,,,,,,,,
132012,public,bank_debit_cards,12:00-22:00,Mon;Tue;Wed;Thu;Fri,French,,,,,,,,,,,,,
132012,public,bank_debit_cards,12:00-22:00,Mon;Tue;Wed;Thu;Fri,Dutch-Belgian,,,,,,,,,,,,,
132012,public,bank_debit_cards,12:00-22:00,Mon;Tue;Wed;Thu;Fri,French,,,,,,,,,,,,,
132012,public,bank_debit_cards,12:00-22:00,Mon;Tue;Wed;Thu;Fri,Dutch-Belgian,,,,,,,,,,,,,
132012,public,bank_debit_cards,12:00-22:00,Sat,French,,,,,,,,,,,,,
132012,public,bank_debit_cards,12:00-22:00,Sat,Dutch-Belgian,,,,,,,,,,,,,
132012,public,bank_debit_cards,12:00-22:00,Sat,French,,,,,,,,,,,,,
132012,public,bank_debit_cards,12:00-22:00,Sat,Dutch-Belgian,,,,,,,,,,,,,
132012,public,Diners_Club,12:00-22:00,Sun,French,,,,,,,,,,,,,
132012,public,Diners_Club,12:00-22:00,Sun,Dutch-Belgian,,,,,,,,,,,,,
132012,public,Diners_Club,12:00-22:00,Sun,French,,,,,,,,,,,,,
132012,public,Diners_Club,12:00-22:00,Sun,Dutch-Belgian,,,,,,,,,,,,,
132012,public,Diners_Club,12:00-22:00,Mon;Tue;Wed;Thu;Fri,French,,,,,,,,,,,,,
132012,public,Diners_Club,12:00-22:00,Mon;Tue;Wed;Thu;Fri,Dutch-Belgian,,,,,,,,,,,,,
