placeID,Rcuisine
135110,spanish
135109,italian
135107,latin_american
135106,mexican
135105,fast_food
135104,mexican
135103,burgers
135103,dessert-ice_cream
135103,fast_food
135103,hot_dogs
135102,latin_american
135102,mexican
135102,steaks
135101,mexican
135101,steaks
135100,mexican
135100,steaks
135099,asian
135099,dessert-ice_cream
135099,international
135099,mongolian
135099,steaks
135099,vegetarian
135098,brazilian
135098,international
135098,latin_american
135098,steaks
135097,cafe-coffee_shop
135097,cafeteria
135097,contemporary
135097,deli-sandwiches
135097,diner
135097,mexican
135094,mexican
135093,mexican
135092,cafeteria
135092,mexican
135091,japanese
135091,sushi
135090,mexican
135089,seafood
135088,cafeteria
135086,burgers
135086,fast_food
135085,fast_food
135079,chinese
135075,seafood
135074,contemporary
135073,bar
135073,bar_pub_brewery
135072,japanese
135071,bar
135071,bar_pub_brewery
135069,bar
135061,contemporary
135060,seafood
135059,bar
135058,pizzeria
135057,bar
135056,bar
135055,mexican
135054,seafood
135053,cafeteria
135053,fast_food
135053,pizzeria
135052,bar
135052,bar_pub_brewery
135049,seafood
135048,bar
135046,fast_food
135044,chinese
135043,fast_food
135043,pizzeria
135042,chinese
135041,bar
135041,cafeteria
135039,seafood
135037,mexican
135036,bar
135035,italian
135034,japanese
135032,cafeteria
135032,contemporary
135031,seafood
135030,cafe-coffee_shop
135030,cafeteria
135029,bar
135029,bar_pub_brewery
135028,mexican
135027,mexican
135026,bar
135026,bar_pub_brewery
135025,mexican
135022,mexican
135021,fast_food
135020,bar
135020,mexican
135019,bar
135018,mexican
135008,contemporary
135007,bar
135007,bar_pub_brewery
135007,mexican
135005,mexican
135004,bar
135004,bar_pub_brewery
135003,chinese
135002,mexican
134999,japanese
134997,bar
134997,cafe-coffee_shop
134997,cafeteria
134990,bar
134990,bar_pub_brewery
134989,mexican
134988,mediterranean
134986,international
134985,mexican
134984,italian
134983,bar
134983,bar_pub_brewery
134982,bar
134982,bar_pub_brewery
134981,italian
134980,seafood
134976,mexican
134976,mediterranean
134976,burgers
134973,mexican
134972,cafe-coffee_shop
134972,cafeteria
134971,mexican
133049,latin_american
133048,mexican
133047,american
133043,international
133039,family
133038,cafeteria
133037,mexican
133036,family
133035,caribbean
133034,mexican
133033,american
133032,mexican
133031,mexican
133030,family
133029,bar
133028,mexican
133027,cafeteria
133026,family
133020,american
133014,contemporary
133010,italian
133009,american
133008,american
133007,american
133000,family
132996,mexican
132995,american
132994,american
132993,mexican
132992,american
132986,mexican
132985,mexican
132980,mexican
132973,mexican
132972,mexican
132971,mexican
132970,american
132969,bar
132968,bar
132967,bar
132966,bar
132965,bar
132964,bar
132963,mexican
132962,burgers
132962,hot_dogs
132961,mexican
132960,mexican
132959,mexican
132958,american
132957,american
132956,african
132955,bar_pub_brewery
132954,breakfast-brunch
132953,mexican
132951,american
132950,mexican
132948,mexican
132947,mexican
132946,mexican
132945,mexican
132943,mexican
132942,mexican
132941,mexican
132940,burgers
132939,mexican
132938,mexican
132937,bar
132936,mexican
132935,mexican
132934,mexican
132933,american
132932,mexican
132930,mexican
132929,mexican
132928,mexican
132927,mexican
132926,mexican
132925,mexican
132924,pizzeria
132923,family
132922,cafeteria
132921,bar
132920,mexican
132919,mexican
132918,mexican
132917,american
132917,mexican
132916,american
132915,mexican
132914,mexican
132913,mexican
132912,mexican
132911,mexican
132910,mexican
132909,mexican
132908,mexican
132907,mexican
132906,mexican
132904,mexican
132903,mexican
132902,mexican
132901,regional
132900,mexican
132899,mexican
132897,mexican
132896,mexican
132895,mexican
132894,mexican
132893,mexican
132892,chinese
132891,mexican
132890,mexican
132889,mexican
132888,afghan
132887,italian
132886,american
132885,cafeteria
132875,japanese
132873,american
132872,american
132871,mexican
132870,burgers
132869,pizzeria
132868,mexican
132867,bar
132867,mexican
132866,bakery
132866,cafeteria
132865,mexican
132864,mexican
132863,international
132862,international
132861,burgers
132860,international
132859,international
132858,burgers
132857,international
132856,italian
132855,mexican
132854,international
132853,fast_food
132852,latin_american
132852,mexican
132851,american
132851,game
132846,international
132845,mexican
132843,mexican
132842,mexican
132841,mexican
132840,mexican
132839,mexican
132838,mexican
132837,mexican
132836,mexican
132835,mexican
132834,mexican
132833,mexican
132829,mexican
132828,mexican
132827,mexican
132825,mexican
132811,international
132810,vegetarian
132807,cafeteria
132806,mexican
132805,mexican
132804,bar
132803,chinese
132802,chinese
132801,mexican
132799,armenian
132798,mexican
132797,cafeteria
132796,american
132795,american
132794,vegetarian
132793,mexican
132792,international
132791,mexican
132790,international
132789,mexican
132788,american
132787,international
132786,international
132785,mexican
132784,italian
132783,international
132782,family
132781,mexican
132779,mexican
132778,mexican
132777,mexican
132776,mexican
132775,mexican
132774,american
132774,bakery
132774,breakfast-brunch
132774,burgers
132774,cafe-coffee_shop
132774,cafeteria
132774,diner
132774,family
132774,mexican
132773,family
132773,mexican
132772,mexican
132771,japanese
132770,spanish
132769,mexican
132768,family
132767,vietnamese
132766,japanese
132765,mexican
132764,mexican
132763,mexican
132761,mexican
132760,mexican
132758,mexican
132757,mexican
132756,italian
132755,mexican
132754,mexican
132753,mexican
132752,cafeteria
132751,burgers
132750,burgers
132749,mexican
132748,mexican
132747,chinese
132746,mexican
132745,american
132744,mexican
132743,mexican
132742,mexican
132741,mexican
132740,mexican
132739,mexican
132738,hot_dogs
132737,mexican
132736,korean
132735,mexican
132734,pizzeria
132733,pizzeria
132732,mexican
132725,fast_food
132724,american
132723,mexican
132719,hot_dogs
132718,hot_dogs
132717,fast_food
132715,mexican
132714,mexican
132713,american
132712,mexican
132711,mexican
132710,mexican
132709,mexican
132708,mexican
132707,mexican
132706,mexican
132705,mexican
132704,mexican
132703,mexican
132702,mexican
132701,mexican
132700,mexican
132699,mexican
132698,mexican
132697,mexican
132696,mexican
132695,mexican
132694,mexican
132693,bar
132692,mexican
132691,mexican
132690,mexican
132689,american
132688,mexican
132687,japanese
132686,thai
132685,barbecue
132684,american
132683,american
132682,american
132681,mexican
132680,mexican
132679,american
132678,mexican
132677,mexican
132676,armenian
132675,mexican
132674,american
132673,mexican
132672,mexican
132671,armenian
132670,mexican
