placeID,city,state,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,other_services
134999,cuernavaca,morelos,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
132825,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,completely,low,familiar,f,open,none
135106,san luis potosi,san luis potosi,wine-beer,permitted,informal,partially,medium,familiar,f,open,none
132667,ciudad victoria,tamaulipas,no_alcohol_served,not permitted,informal,completely,low,familiar,t,closed,none
132613,ciudad victoria,tamaulipas,no_alcohol_served,permitted,informal,completely,medium,familiar,t,closed,none
135040,san luis potosi,san luis potosi,wine-beer,not permitted,informal,no_accessibility,high,familiar,f,closed,none
132732,ciudad victoria,tamaulipas,no_alcohol_served,not permitted,informal,completely,low,familiar,f,open,none
132875,Nan,Nan,wine-beer,permitted,informal,no_accessibility,high,familiar,t,open,internet
132609,ciudad victoria,tamaulipas,no_alcohol_served,not permitted,informal,completely,low,quiet,t,closed,none
135082,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
135070,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
135069,san luis potosi,san luis potosi,wine-beer,not permitted,informal,no_accessibility,low,familiar,f,closed,none
135065,san luis potosi,san luis potosi,wine-beer,permitted,informal,no_accessibility,high,familiar,f,closed,none
135076,san luis potosi,san luis potosi,wine-beer,not permitted,informal,no_accessibility,high,familiar,f,closed,none
135086,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,t,closed,none
132870,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,low,familiar,f,closed,none
132854,san luis potosi,san luis potosi,wine-beer,not permitted,informal,completely,medium,familiar,f,closed,none
132937,san luis potosi,san luis potosi,full_bar,permitted,informal,completely,low,quiet,f,closed,variety
132856,san luis potosi,san luis potosi,wine-beer,not permitted,informal,completely,low,familiar,f,closed,none
132668,ciudad victoria,tamaulipas,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
135033,san luis potosi,san luis potosi,no_alcohol_served,permitted,informal,no_accessibility,medium,familiar,f,closed,none
132862,san luis potosi,san luis potosi,wine-beer,not permitted,informal,completely,high,familiar,f,closed,none
134983,cuernavaca,morelos,full_bar,permitted,informal,no_accessibility,high,familiar,f,closed,none
132851,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
135013,jiutepec,morelos,no_alcohol_served,not permitted,informal,no_accessibility,low,familiar,f,closed,none
135042,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
132768,cuernavaca,morelos,no_alcohol_served,not permitted,informal,partially,medium,familiar,t,closed,none
132561,Nan,Nan,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
135045,san luis potosi,san luis potosi,wine-beer,not permitted,informal,no_accessibility,high,familiar,f,closed,none
132847,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,low,familiar,f,open,none
135054,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,high,familiar,f,closed,none
134975,Nan,Nan,full_bar,permitted,informal,completely,high,familiar,f,closed,variety
135053,san luis potosi,san luis potosi,no_alcohol_served,permitted,informal,no_accessibility,high,familiar,f,closed,none
135050,soledad,san luis potosi,wine-beer,not permitted,informal,no_accessibility,high,familiar,f,closed,none
135025,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
135030,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,quiet,f,closed,internet
135057,san luis potosi,san luis potosi,wine-beer,permitted,informal,no_accessibility,medium,familiar,f,closed,none
135079,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,high,familiar,f,closed,none
134992,cuernavaca,morelos,wine-beer,permitted,informal,no_accessibility,high,familiar,f,closed,none
132954,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,partially,medium,familiar,t,closed,none
135041,san luis potosi,san luis potosi,wine-beer,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
132608,ciudad victoria,tamaulipas,no_alcohol_served,permitted,informal,completely,low,quiet,t,open,none
135046,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
132564,Nan,Nan,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
132869,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
132925,Nan,Nan,wine-beer,not permitted,informal,completely,medium,familiar,f,closed,none
132955,san luis potosi,mexico,wine-beer,not permitted,informal,completely,low,familiar,t,closed,variety
135059,san luis potosi,san luis potosi,wine-beer,permitted,informal,no_accessibility,medium,familiar,f,closed,none
135001,cuernavaca,morelos,wine-beer,not permitted,informal,completely,medium,familiar,t,closed,none
135063,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
135080,san luis potosi,san luis potosi,no_alcohol_served,permitted,informal,no_accessibility,high,familiar,f,closed,none
135000,cuernavaca,morelos,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
135066,san luis potosi,san luis potosi,wine-beer,permitted,informal,no_accessibility,high,familiar,f,closed,none
135034,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
135060,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
