placeID,Rpayment
135110,cash
135110,visa
135110,mastercard-eurocard
135110,american_express
135110,bank_debit_cards
135109,cash
135107,cash
135107,visa
135107,mastercard-eurocard
135107,american_express
135107,bank_debit_cards
135106,cash
135106,visa
135106,mastercard-eurocard
135105,cash
135104,cash
135104,visa
135104,mastercard-eurocard
135103,cash
135103,visa
135103,mastercard-eurocard
135102,cash
135102,visa
135102,mastercard-eurocard
135102,bank_debit_cards
135101,cash
135100,cash
135099,cash
135099,visa
135099,mastercard-eurocard
135098,cash
135098,visa
135098,mastercard-eurocard
135098,bank_debit_cards
135097,cash
135097,visa
135097,mastercard-eurocard
135097,bank_debit_cards
135094,cash
135093,cash
135093,bank_debit_cards
135092,cash
135091,cash
135091,visa
135091,mastercard-eurocard
135090,cash
135089,cash
135089,visa
135089,mastercard-eurocard
135089,bank_debit_cards
135088,cash
135086,cash
135086,visa
135086,mastercard-eurocard
135085,cash
135084,cash
135084,visa
135084,mastercard-eurocard
135082,cash
135081,cash
135081,visa
135081,mastercard-eurocard
135080,cash
135080,visa
135080,mastercard-eurocard
135080,american_express
135079,cash
135079,american_express
135078,cash
135078,visa
135078,mastercard-eurocard
135077,cash
135076,cash
135076,visa
135076,mastercard-eurocard
135076,american_express
135075,cash
135074,cash
135074,visa
135074,mastercard-eurocard
135073,cash
135073,visa
135073,mastercard-eurocard
135072,cash
135072,visa
135072,mastercard-eurocard
135072,american_express
135071,cash
135071,visa
135071,mastercard-eurocard
135071,american_express
135070,cash
135069,cash
135068,cash
135068,visa
135068,mastercard-eurocard
135067,cash
135067,visa
135067,mastercard-eurocard
135066,cash
135066,visa
135066,mastercard-eurocard
135065,cash
135065,visa
135065,mastercard-eurocard
135065,american_express
135064,cash
135064,visa
135064,mastercard-eurocard
135063,cash
135062,cash
135061,cash
135061,visa
135061,mastercard-eurocard
135061,american_express
135060,cash
135059,cash
135058,cash
135058,visa
135058,mastercard-eurocard
135057,cash
135057,visa
135057,mastercard-eurocard
135057,american_express
135056,cash
135055,cash
135055,visa
135055,mastercard-eurocard
135055,american_express
135054,cash
135054,visa
135054,mastercard-eurocard
135053,cash
135053,visa
135053,mastercard-eurocard
135053,american_express
135052,cash
135052,visa
135052,mastercard-eurocard
135051,cash
135050,cash
135050,visa
135050,mastercard-eurocard
135050,american_express
135049,cash
135048,cash
135048,visa
135048,mastercard-eurocard
135048,american_express
135047,cash
135047,visa
135047,mastercard-eurocard
135046,cash
135046,visa
135046,mastercard-eurocard
135045,cash
135045,visa
135045,mastercard-eurocard
135045,american_express
135044,cash
135043,cash
135042,cash
135041,cash
135040,cash
135040,visa
135040,mastercard-eurocard
135039,cash
135038,cash
135037,cash
135037,visa
135037,mastercard-eurocard
135036,cash
135035,cash
135035,visa
135035,mastercard-eurocard
135035,american_express
135034,cash
135034,visa
135034,mastercard-eurocard
135034,american_express
135033,cash
135033,visa
135033,mastercard-eurocard
135033,american_express
135032,cash
135032,visa
135032,mastercard-eurocard
135031,cash
135031,visa
135031,mastercard-eurocard
135030,cash
135029,cash
135029,visa
135029,mastercard-eurocard
135029,american_express
135028,cash
135028,visa
135028,mastercard-eurocard
135028,american_express
135027,cash
135027,visa
135027,mastercard-eurocard
135027,american_express
135025,cash
135025,visa
135025,mastercard-eurocard
135025,american_express
135024,cash
135024,visa
135024,mastercard-eurocard
135024,american_express
135023,cash
135022,cash
135021,cash
135018,cash
135018,visa
135018,mastercard-eurocard
135018,bank_debit_cards
135017,cash
135016,cash
135015,cash
135014,cash
135013,cash
135012,cash
135011,cash
135010,cash
135009,cash
135008,cash
135008,visa
135008,mastercard-eurocard
135008,american_express
135007,visa
135007,mastercard-eurocard
135007,american_express
135006,cash
135006,visa
135006,mastercard-eurocard
135006,american_express
135005,cash
135004,cash
135004,visa
135004,mastercard-eurocard
135003,cash
135002,visa
135002,mastercard-eurocard
135002,american_express
135001,cash
135001,visa
135001,mastercard-eurocard
135001,american_express
135000,cash
134998,cash
134996,cash
134995,cash
134994,cash
134994,visa
134994,mastercard-eurocard
134993,cash
134993,visa
134993,mastercard-eurocard
134993,american_express
134992,cash
134992,visa
134992,mastercard-eurocard
134991,cash
134991,visa
134991,mastercard-eurocard
134991,american_express
134990,cash
134989,cash
134989,visa
134989,mastercard-eurocard
134989,american_express
134988,visa
134988,mastercard-eurocard
134988,american_express
134987,cash
134985,visa
134985,mastercard-eurocard
134985,american_express
134984,cash
134984,visa
134984,mastercard-eurocard
134983,cash
134983,visa
134983,mastercard-eurocard
134982,cash
134981,cash
134980,cash
134978,cash
134978,visa
134978,mastercard-eurocard
134977,cash
134977,visa
134977,mastercard-eurocard
134976,visa
134976,mastercard-eurocard
134976,american_express
134976,checks
134975,cash
134975,visa
134975,mastercard-eurocard
134975,discover
134974,cash
134974,visa
134974,mastercard-eurocard
134973,cash
134973,visa
134973,mastercard-eurocard
134972,cash
134972,visa
134972,mastercard-eurocard
134971,cash
134971,visa
134971,mastercard-eurocard
134970,cash
134970,visa
134970,mastercard-eurocard
134970,checks
133049,cash
133048,cash
133047,cash
133043,cash
133043,visa
133043,mastercard-eurocard
133043,bank_debit_cards
133038,cash
133037,cash
133036,cash
133035,cash
133034,cash
133033,cash
133033,visa
133033,mastercard-eurocard
133033,american_express
133032,cash
133031,cash
133030,cash
133030,visa
133030,bank_debit_cards
133029,cash
133028,cash
133027,cash
133027,mastercard-eurocard
133027,american_express
133026,cash
133026,bank_debit_cards
133020,cash
133014,cash
133009,cash
133008,cash
133007,cash
132996,cash
132995,cash
132994,cash
132993,cash
132986,cash
132985,cash
132984,cash
132983,cash
132982,cash
132981,cash
132980,cash
132979,cash
132978,cash
132977,cash
132976,cash
132975,cash
132974,cash
132973,cash
132972,cash
132971,cash
132970,cash
132969,cash
132968,cash
132967,cash
132966,cash
132965,cash
132964,cash
132963,cash
132962,cash
132961,cash
132960,cash
132959,cash
132958,cash
132958,visa
132958,mastercard-eurocard
132958,american_express
132958,bank_debit_cards
132957,cash
132957,visa
132957,mastercard-eurocard
132957,bank_debit_cards
132956,cash
132956,visa
132956,mastercard-eurocard
132956,bank_debit_cards
132955,cash
132955,visa
132955,mastercard-eurocard
132955,bank_debit_cards
132955,carte_blanche
132954,cash
132954,visa
132954,mastercard-eurocard
132954,bank_debit_cards
132953,cash
132953,visa
132953,american_express
132953,bank_debit_cards
132951,cash
132950,cash
132948,cash
132947,cash
132947,visa
132946,cash
132945,cash
132944,cash
132942,cash
132941,cash
132940,cash
132939,cash
132938,cash
132937,cash
132936,cash
132935,cash
132934,cash
132933,cash
132932,cash
132931,cash
132931,visa
132931,mastercard-eurocard
132931,bank_debit_cards
132931,checks
132930,cash
132929,cash
132928,cash
132927,cash
132927,visa
132927,mastercard-eurocard
132927,bank_debit_cards
132927,checks
132926,cash
132925,cash
132924,cash
132923,cash
132922,cash
132921,cash
132920,cash
132919,cash
132918,cash
132917,cash
132917,visa
132917,mastercard-eurocard
132917,american_express
132917,bank_debit_cards
132916,cash
132915,cash
132914,cash
132913,cash
132912,cash
132911,cash
132910,cash
132909,cash
132908,cash
132907,cash
132904,cash
132903,cash
132902,cash
132901,cash
132900,cash
132900,visa
132900,mastercard-eurocard
132900,american_express
132900,bank_debit_cards
132899,cash
132897,cash
132896,cash
132895,cash
132894,cash
132893,cash
132892,cash
132892,visa
132891,cash
132890,cash
132889,cash
132888,cash
132888,visa
132888,mastercard-eurocard
132887,cash
132887,visa
132887,mastercard-eurocard
132887,bank_debit_cards
132886,cash
132886,visa
132886,mastercard-eurocard
132886,american_express
132885,cash
132880,cash
132880,visa
132880,mastercard-eurocard
132880,bank_debit_cards
132880,carte_blanche
132875,cash
132875,visa
132875,mastercard-eurocard
132875,american_express
132875,bank_debit_cards
132873,cash
132873,visa
132873,mastercard-eurocard
132873,american_express
132873,bank_debit_cards
132872,cash
132872,bank_debit_cards
132871,cash
132870,cash
132869,cash
132868,cash
132867,cash
132866,cash
132865,cash
132864,cash
132863,cash
132863,visa
132863,mastercard-eurocard
132863,american_express
132863,bank_debit_cards
132862,cash
132862,visa
132862,mastercard-eurocard
132862,american_express
132862,bank_debit_cards
132861,cash
132861,visa
132861,mastercard-eurocard
132861,american_express
132861,bank_debit_cards
132860,cash
132860,visa
132860,mastercard-eurocard
132860,american_express
132860,bank_debit_cards
132859,cash
132859,visa
132859,mastercard-eurocard
132859,american_express
132859,bank_debit_cards
132858,cash
132857,cash
132857,visa
132857,bank_debit_cards
132856,cash
132855,cash
132854,cash
132854,visa
132854,bank_debit_cards
132853,cash
132852,cash
132851,cash
132850,cash
132849,cash
132848,cash
132847,cash
132846,cash
132845,cash
132843,cash
132842,cash
132841,cash
132840,cash
132837,cash
132836,cash
132835,cash
132835,visa
132835,mastercard-eurocard
132835,american_express
132835,bank_debit_cards
132834,cash
132829,cash
132828,cash
132827,cash
132826,cash
132826,visa
132826,mastercard-eurocard
132826,bank_debit_cards
132825,cash
132824,cash
132824,bank_debit_cards
132821,cash
132820,cash
132820,bank_debit_cards
132819,cash
132817,cash
132815,cash
132811,cash
132811,visa
132811,mastercard-eurocard
132810,cash
132809,cash
132808,cash
132808,visa
132808,mastercard-eurocard
132807,cash
132807,visa
132807,mastercard-eurocard
132806,cash
132806,visa
132806,mastercard-eurocard
132806,bank_debit_cards
132805,cash
132804,cash
132804,visa
132804,mastercard-eurocard
132804,american_express
132803,cash
132802,cash
132802,american_express
132802,bank_debit_cards
132801,cash
132801,bank_debit_cards
132799,cash
132799,american_express
132799,bank_debit_cards
132798,cash
132797,cash
132797,bank_debit_cards
132796,cash
132796,visa
132796,mastercard-eurocard
132796,american_express
132795,cash
132795,mastercard-eurocard
132795,american_express
132794,cash
132793,cash
132793,visa
132793,mastercard-eurocard
132793,american_express
132793,bank_debit_cards
132792,cash
132792,visa
132792,american_express
132792,bank_debit_cards
132791,cash
132791,visa
132791,mastercard-eurocard
132791,american_express
132791,bank_debit_cards
132790,cash
132790,visa
132790,mastercard-eurocard
132790,american_express
132790,bank_debit_cards
132789,cash
132789,visa
132789,american_express
132789,bank_debit_cards
132788,cash
132788,visa
132788,american_express
132787,cash
132787,visa
132787,american_express
132787,bank_debit_cards
132786,cash
132786,visa
132786,american_express
132786,bank_debit_cards
132785,cash
132785,visa
132785,bank_debit_cards
132784,cash
132784,visa
132784,mastercard-eurocard
132784,american_express
132784,bank_debit_cards
132783,cash
132783,visa
132783,mastercard-eurocard
132783,american_express
132783,bank_debit_cards
132782,cash
132782,mastercard-eurocard
132782,bank_debit_cards
132781,cash
132781,bank_debit_cards
132780,cash
132779,cash
132779,visa
132778,cash
132777,cash
132777,visa
132777,mastercard-eurocard
132777,bank_debit_cards
132776,cash
132776,visa
132776,bank_debit_cards
132775,cash
132774,cash
132774,visa
132774,bank_debit_cards
132773,cash
132772,cash
132771,cash
132771,bank_debit_cards
132770,cash
132769,cash
132768,cash
132768,bank_debit_cards
132767,cash
132767,visa
132767,american_express
132766,cash
132765,cash
132764,cash
132763,cash
132762,cash
