placeID,parking_lot_fee,parking_lot_none,parking_lot_public,parking_lot_street,parking_lot_valet parking,parking_lot_validated parking,parking_lot_yes
132012,0,0,1,1,0,0,0
132023,1,0,1,0,0,0,0
132024,0,0,0,1,0,0,0
132026,1,0,0,0,0,0,0
132030,0,0,0,1,0,0,0
132031,0,0,0,1,0,0,1
132107,0,0,1,0,0,0,0
132111,0,0,1,0,0,0,1
132155,1,0,1,0,0,0,0
132157,0,0,0,0,0,0,1
132159,0,0,0,1,0,0,0
132160,0,0,0,1,0,0,0
132161,0,0,0,1,0,0,0
132164,1,0,0,0,0,0,0
132177,0,0,0,0,0,0,1
132182,0,0,0,0,0,0,1
132184,0,0,0,1,1,0,0
132204,0,0,1,1,0,0,0
132206,1,0,0,0,0,0,0
132207,0,0,0,1,0,0,0
132220,1,0,0,0,0,0,0
132231,0,0,0,1,0,0,0
132237,0,0,0,0,0,0,1
132243,0,0,1,0,1,1,0
132281,0,0,1,1,0,0,0
132289,0,0,0,0,1,1,0
132292,0,0,1,1,0,0,0
132296,0,0,0,1,0,0,0
132297,0,0,1,1,0,0,0
132302,0,0,0,0,0,0,1
132326,0,0,1,0,0,0,1
132333,0,0,0,0,0,1,0
132355,1,0,0,1,0,0,0
132377,0,0,0,1,0,0,0
132392,0,0,0,1,0,0,0
132396,1,0,1,0,0,0,0
132399,1,0,1,0,0,0,0
132409,0,0,1,1,0,0,0
132436,0,0,0,1,0,0,0
132437,1,0,0,0,0,0,0
132439,0,0,0,1,0,0,0
132442,0,0,0,1,0,0,0
132443,0,0,0,1,0,0,0
132449,0,0,1,1,0,0,0
132468,0,1,0,0,0,0,0
132478,1,1,0,0,0,0,0
132479,0,0,0,1,0,0,0
132481,1,0,0,1,0,0,0
132482,0,0,0,0,0,0,1
132483,1,0,1,0,0,0,0
132484,0,0,0,0,0,0,1
132487,0,0,0,0,0,0,1
132491,0,0,1,1,0,0,0
132521,1,0,1,0,0,0,0
132527,0,0,0,1,0,0,0
132530,1,0,1,0,0,0,0
132531,0,0,1,1,0,0,0
132535,0,0,0,1,0,0,0
132545,0,0,0,1,0,0,0
132557,0,0,1,1,0,0,0
132560,0,0,1,0,0,0,0
132561,0,1,0,0,0,0,0
132562,0,1,0,0,0,0,0
132563,0,1,0,0,0,0,0
132564,0,1,0,0,0,0,0
132565,0,1,0,0,0,0,0
132566,0,1,0,0,0,0,0
132567,0,1,0,0,0,0,0
132568,0,1,0,0,0,0,0
132569,0,1,0,0,0,0,0
132570,0,1,0,0,0,0,0
132571,0,1,0,0,0,0,0
132572,0,0,0,0,0,0,1
132573,0,1,0,0,0,0,0
132574,0,0,0,0,0,0,1
132575,0,0,0,0,0,0,1
132576,0,1,0,0,0,0,0
132577,0,1,0,0,0,0,0
132578,0,1,0,0,0,0,0
132579,0,1,0,0,0,0,0
132580,0,1,0,0,0,0,0
132581,0,1,0,0,0,0,0
132582,0,0,0,0,0,0,1
132583,0,1,0,0,0,0,0
132584,0,0,0,0,0,0,1
132585,0,0,0,0,0,0,1
132586,0,0,0,0,0,0,1
132587,0,0,1,0,0,0,0
132588,0,0,1,0,0,0,0
132589,0,0,0,0,0,0,1
132590,0,0,0,0,0,0,1
132591,0,1,0,0,0,0,0
132592,0,1,0,0,0,0,0
132593,0,0,1,0,0,0,0
132594,0,0,1,0,0,0,0
132595,0,1,0,0,0,0,0
132596,0,1,0,0,0,0,0
132597,0,0,1,0,0,0,0
132598,0,0,0,0,0,0,1
132599,0,0,1,0,0,0,0
132600,0,0,1,0,0,0,0
132601,0,0,1,0,0,0,0
132602,0,0,1,0,0,0,0
132603,0,0,0,0,0,0,1
132604,0,1,0,0,0,0,0
132605,0,0,1,0,0,0,0
132606,0,1,0,0,0,0,0
132607,0,1,0,0,0,0,0
132608,0,0,1,0,0,0,0
132609,0,0,0,0,0,0,1
132610,0,0,0,0,0,0,1
132611,0,0,0,0,0,0,1
132612,0,0,0,0,0,0,1
132613,0,0,0,0,0,0,1
132614,0,1,0,0,0,0,0
132615,0,1,0,0,0,0,0
132616,0,0,0,0,0,0,1
132617,0,0,0,0,0,0,1
132618,0,0,1,0,0,0,0
132619,0,0,0,0,0,0,1
132620,0,0,1,0,0,0,0
132621,0,1,0,0,0,0,0
132622,0,0,0,0,0,0,1
132623,0,1,0,0,0,0,0
132624,0,0,0,0,0,0,1
132625,0,0,0,0,0,0,1
132626,0,0,0,0,0,0,1
132628,0,1,0,0,0,0,0
132629,0,0,0,0,0,0,1
132630,0,1,0,0,0,0,0
132631,0,1,0,0,0,0,0
132632,0,1,0,0,0,0,0
132633,0,1,0,0,0,0,0
132634,0,1,0,0,0,0,0
132635,0,0,0,0,1,0,0
132636,0,0,0,0,0,0,1
132637,0,1,0,0,0,0,0
132638,0,0,0,0,0,0,1
132639,0,1,0,0,0,0,0
132640,0,0,0,0,0,0,1
132641,0,1,0,0,0,0,0
132642,0,1,0,0,0,0,0
132643,0,1,0,0,0,0,0
132644,0,1,0,0,0,0,0
132645,0,0,0,0,0,0,1
132646,0,1,0,0,0,0,0
132647,0,1,0,0,0,0,0
132648,0,1,0,0,0,0,0
132649,0,1,0,0,0,0,0
132650,0,0,0,0,0,0,1
132651,0,1,0,0,0,0,0
132652,0,1,0,0,0,0,0
132653,0,0,0,0,0,0,1
132654,0,1,0,0,0,0,0
132655,0,0,0,0,0,0,1
132656,0,1,0,0,0,0,0
132657,0,1,0,0,0,0,0
132658,0,0,0,0,0,0,1
132659,0,1,0,0,0,0,0
132660,0,1,0,0,0,0,0
132661,0,1,0,0,0,0,0
132662,0,1,0,0,0,0,0
132663,0,1,0,0,0,0,0
132664,0,1,0,0,0,0,0
132665,0,1,0,0,0,0,0
132666,0,1,0,0,0,0,0
132667,0,1,0,0,0,0,0
132668,0,1,0,0,0,0,0
132669,0,1,0,0,0,0,0
132670,0,1,0,0,0,0,0
132671,0,1,0,0,0,0,0
132672,0,1,0,0,0,0,0
132673,0,1,0,0,0,0,0
132674,0,1,0,0,0,0,0
132675,0,1,0,0,0,0,0
132676,0,1,0,0,0,0,0
132677,0,1,0,0,0,0,0
132678,0,1,0,0,0,0,0
132679,0,1,0,0,0,0,0
132680,0,0,1,0,0,0,0
132681,0,0,1,0,0,0,0
132682,0,0,0,0,0,0,1
132683,0,0,0,0,0,0,1
132684,0,0,0,0,0,0,1
132685,0,0,0,0,0,0,1
132686,0,0,0,0,0,0,1
132687,0,0,0,0,0,0,1
132688,0,1,0,0,0,0,0
132689,0,0,0,0,0,0,1
132690,0,1,0,0,0,0,0
132691,0,0,0,0,0,0,1
132692,0,0,0,0,0,0,1
132693,0,0,0,0,0,0,1
132694,0,1,0,0,0,0,0
132695,0,0,0,0,0,0,1
132696,0,0,1,0,0,0,0
132697,0,0,0,0,0,0,1
132698,0,0,1,0,0,0,0
132699,0,0,0,0,0,0,1
132700,0,0,0,0,0,0,1
132701,0,0,1,0,0,0,0
132702,0,0,1,0,0,0,0
132703,0,1,0,0,0,0,0
132704,0,0,1,0,0,0,0
132705,0,0,1,0,0,0,0
132706,0,0,1,0,0,0,0
132707,0,0,1,0,0,0,0
132708,0,1,0,0,0,0,0
132709,0,0,1,0,0,0,0
132710,0,0,1,0,0,0,0
132711,0,0,1,0,0,0,0
132712,0,0,1,0,0,0,0
132713,0,1,0,0,0,0,0
132714,0,1,0,0,0,0,0
132715,0,1,0,0,0,0,0
132716,0,1,0,0,0,0,0
132717,0,0,1,0,0,0,0
132718,0,1,0,0,0,0,0
132719,0,1,0,0,0,0,0
132720,0,1,0,0,0,0,0
132721,0,1,0,0,0,0,0
132722,0,0,1,0,0,0,0
132723,0,0,1,0,0,0,0
132724,0,0,0,0,0,0,1
132725,0,1,0,0,0,0,0
132726,0,0,0,0,0,0,1
132727,0,0,0,0,0,0,1
132728,0,0,0,0,0,0,1
132729,0,1,0,0,0,0,0
132730,0,1,0,0,0,0,0
132731,0,1,0,0,0,0,0
132732,0,1,0,0,0,0,0
132733,0,0,0,0,0,0,1
132734,0,1,0,0,0,0,0
132735,0,0,1,0,0,0,0
132736,0,0,0,0,0,0,1
132737,0,0,1,0,0,0,0
132738,0,0,1,0,0,0,0
132739,0,0,1,0,0,0,0
132740,0,1,0,0,0,0,0
132741,0,0,1,0,0,0,0
132742,0,1,0,0,0,0,0
132743,0,1,0,0,0,0,0
132744,0,1,0,0,0,0,0
132745,0,0,0,0,0,0,1
132746,0,0,1,0,0,0,0
132747,0,0,0,0,0,0,1
132748,0,1,0,0,0,0,0
132749,0,1,0,0,0,0,0
132750,0,0,0,0,0,0,1
132751,0,0,0,0,0,0,1
132752,0,1,0,0,0,0,0
132753,0,0,1,0,0,0,0
132754,0,1,0,0,0,0,0
132755,0,0,1,0,0,0,0
132756,1,0,0,0,0,0,0
132757,0,1,0,0,0,0,0
132758,0,1,0,0,0,0,0
132759,0,1,0,0,0,0,0
132760,0,1,0,0,0,0,0
132761,0,0,1,0,0,0,0
132762,0,1,0,0,0,0,0
132763,0,0,1,0,0,0,0
132764,0,0,1,0,0,0,0
132765,0,1,0,0,0,0,0
132766,0,0,0,0,0,0,1
132767,0,0,0,0,0,0,1
132768,0,1,0,0,0,0,0
132769,0,1,0,0,0,0,0
132770,0,0,0,0,0,0,1
132771,0,0,0,0,0,0,1
132772,0,0,1,0,0,0,0
132773,0,1,0,0,0,0,0
132774,0,0,0,0,0,0,1
